,rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,batSong,userID,lang,timeEnd,timeBegin,sequenceTrials,nodeIndex,tIndex,studyID,uniqueID,offset,nChanges,initialOffset,performance,infoUser,study_result,comp_result,view_history,success,timeout,failed_images,failed_audio,failed_video,rtAudio,baseLatencyBegin,baseLatencyEnd,outputLatencyBegin,outputLatencyEnd,question_order,userIDAlicia
0,3741.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,3748.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/floorplanNoLie/floorplanNoLieModifiedLow.mp3,m12_100,fi,1749475356209.0,1749475290837.0,"bat,tapping",2,5,m12,null,,,,,,32038,data.txt,,,,,,,,,,,,,
1,57509.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,61264.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/floorplanNoLie/floorplanNoLieModifiedLow.mp3,m12_100,fi,1749475356209.0,1749475290837.0,"bat,tapping",2,5,m12,null,0.0,12.0,2.0,,,32038,data.txt,,,,,,,,,,,,,
2,1799.0,,{'Q0': 3},survey-likert,2.0,63079.0,0.0-0.0-2.0,,m12_100,fi,1749475356209.0,1749475290837.0,"bat,tapping",2,5,m12,null,,,,,,32038,data.txt,,,,,,,,,,,,[0],
3,1984.0,,{'Q0': 3},survey-likert,3.0,65078.0,0.0-0.0-3.0,,m12_100,fi,1749475356209.0,1749475290837.0,"bat,tapping",2,5,m12,null,,,,,,32038,data.txt,,,,,,,,,,,,[0],
0,1794.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,1797.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/habstrack_clowns/habstrack_clownsModifiedLow.mp3,128,fi,1754930754718.0,1754930712321.0,"bat,tapping",2,2,m12,null,,,,,,36894,data.txt,,,,,,,,,,,,,
1,32506.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,34305.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/habstrack_clowns/habstrack_clownsModifiedLow.mp3,128,fi,1754930754718.0,1754930712321.0,"bat,tapping",2,2,m12,null,0.0,8.0,5.0,,,36894,data.txt,,,,,,,,,,,,,
2,4926.0,,{'Q0': 2},survey-likert,2.0,39237.0,0.0-0.0-2.0,,128,fi,1754930754718.0,1754930712321.0,"bat,tapping",2,2,m12,null,,,,,,36894,data.txt,,,,,,,,,,,,[0],
3,2756.0,,{'Q0': 2},survey-likert,3.0,41998.0,0.0-0.0-3.0,,128,fi,1754930754718.0,1754930712321.0,"bat,tapping",2,2,m12,null,,,,,,36894,data.txt,,,,,,,,,,,,[0],
0,5062.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,5065.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/floorplanNoLie/floorplanNoLieModifiedLow.mp3,110,fi,1751388169872.0,1751388134630.0,"tapping,bat",3,5,m12,null,,,,,,33976,data.txt,,,,,,,,,,,,,
1,24875.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,29944.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/floorplanNoLie/floorplanNoLieModifiedLow.mp3,110,fi,1751388169872.0,1751388134630.0,"tapping,bat",3,5,m12,null,0.0,4.0,7.0,,,33976,data.txt,,,,,,,,,,,,,
2,3434.0,,{'Q0': 3},survey-likert,2.0,33383.0,0.0-0.0-2.0,,110,fi,1751388169872.0,1751388134630.0,"tapping,bat",3,5,m12,null,,,,,,33976,data.txt,,,,,,,,,,,,[0],
3,1463.0,,{'Q0': 3},survey-likert,3.0,34850.0,0.0-0.0-3.0,,110,fi,1751388169872.0,1751388134630.0,"tapping,bat",3,5,m12,null,,,,,,33976,data.txt,,,,,,,,,,,,[0],
0,1109.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,1110.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/floorplanNoLie/floorplanNoLieModifiedLow.mp3,m12_100,fi,1754650828958.0,1754650812196.0,"bat,tapping",2,5,m12,null,,,,,,36860,data.txt,,,,,,,,,,,,,
1,9774.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,10885.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/floorplanNoLie/floorplanNoLieModifiedLow.mp3,m12_100,fi,1754650828958.0,1754650812196.0,"bat,tapping",2,5,m12,null,0.0,2.0,7.0,,,36860,data.txt,,,,,,,,,,,,,
2,3677.0,,{'Q0': 4},survey-likert,2.0,14563.0,0.0-0.0-2.0,,m12_100,fi,1754650828958.0,1754650812196.0,"bat,tapping",2,5,m12,null,,,,,,36860,data.txt,,,,,,,,,,,,[0],
3,2074.0,,{'Q0': 3},survey-likert,3.0,16641.0,0.0-0.0-3.0,,m12_100,fi,1754650828958.0,1754650812196.0,"bat,tapping",2,5,m12,null,,,,,,36860,data.txt,,,,,,,,,,,,[0],
0,915.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,921.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/training/trainingBaseModified.mp3,110,fi,1751388025935.0,1751387984121.0,"tapping,bat",3,1,m12,null,,,,,,33971,data.txt,,,,,,,,,,,,,
1,31701.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,32624.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/training/trainingBaseModified.mp3,110,fi,1751388025935.0,1751387984121.0,"tapping,bat",3,1,m12,null,0.0,5.0,7.0,,,33971,data.txt,,,,,,,,,,,,,
2,4545.0,,{'Q0': 2},survey-likert,2.0,37173.0,0.0-0.0-2.0,,110,fi,1751388025935.0,1751387984121.0,"tapping,bat",3,1,m12,null,,,,,,33971,data.txt,,,,,,,,,,,,[0],
3,4191.0,,{'Q0': 3},survey-likert,3.0,41368.0,0.0-0.0-3.0,,110,fi,1751388025935.0,1751387984121.0,"tapping,bat",3,1,m12,null,,,,,,33971,data.txt,,,,,,,,,,,,[0],
0,585.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,590.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/training/trainingBaseModified.mp3,128,fi,1754930711107.0,1754930666649.0,"bat,tapping",2,1,m12,null,,,,,,36893,data.txt,,,,,,,,,,,,,
1,23604.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,24198.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/training/trainingBaseModified.mp3,128,fi,1754930711107.0,1754930666649.0,"bat,tapping",2,1,m12,null,0.0,10.0,1.0,,,36893,data.txt,,,,,,,,,,,,,
2,10255.0,,{'Q0': 2},survey-likert,2.0,34460.0,0.0-0.0-2.0,,128,fi,1754930711107.0,1754930666649.0,"bat,tapping",2,1,m12,null,,,,,,36893,data.txt,,,,,,,,,,,,[0],
3,9579.0,,{'Q0': 2},survey-likert,3.0,44044.0,0.0-0.0-3.0,,128,fi,1754930711107.0,1754930666649.0,"bat,tapping",2,1,m12,null,,,,,,36893,data.txt,,,,,,,,,,,,[0],
0,1205.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,1208.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/honeySuckle/honeysuckleRoseModifiedLow.mp3,m12_100,fi,1754650770865.0,1754650733457.0,"bat,tapping",2,3,m12,null,,,,,,36858,data.txt,,,,,,,,,,,,,
1,32258.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,33467.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/honeySuckle/honeysuckleRoseModifiedLow.mp3,m12_100,fi,1754650770865.0,1754650733457.0,"bat,tapping",2,3,m12,null,7.0,11.0,5.0,,,36858,data.txt,,,,,,,,,,,,,
2,1877.0,,{'Q0': 2},survey-likert,2.0,35346.0,0.0-0.0-2.0,,m12_100,fi,1754650770865.0,1754650733457.0,"bat,tapping",2,3,m12,null,,,,,,36858,data.txt,,,,,,,,,,,,[0],
3,1922.0,,{'Q0': 1},survey-likert,3.0,37273.0,0.0-0.0-3.0,,m12_100,fi,1754650770865.0,1754650733457.0,"bat,tapping",2,3,m12,null,,,,,,36858,data.txt,,,,,,,,,,,,[0],
0,2169,"<a href=""https://mmbb.ltdk.helsinki.fi/utils/Privacy_Notice_MMBB_fi.pdf"" target=""_blank"">Tietosuojailmoitus<span class=""new-tab-icon"" aria-hidden=""true""> 🔗</span></a><br><a href=""https://mmbb.ltdk.helsinki.fi/utils/informed_consent_fi.pdf"" target=""_blank"">Tiedote Tutkimuksesta<span class=""new-tab-icon"" aria-hidden=""true""> 🔗</span></a>",0.0,html-button-response,0.0,2172.0,0.0-0.0-0.0,,m12_100,fi,1754650548223.0,1754650502369.0,"tapping,bat",1,0,m12,null,,,,,,36851,data.txt,,,,,,,,,,,,,
1,,,,preload,1.0,2506.0,0.0-0.0-1.0,,m12_100,fi,1754650548223.0,1754650502369.0,"tapping,bat",1,0,m12,null,,,,,,36851,data.txt,,True,False,[],[],[],,,,,,,
2,16077,,,instructions,2.0,18583.0,0.0-0.0-2.0,,m12_100,fi,1754650548223.0,1754650502369.0,"tapping,bat",1,0,m12,null,,,,,,36851,data.txt,"[{'page_index': 0, 'viewing_time': 1428}, {'page_index': 1, 'viewing_time': 1797}, {'page_index': 2, 'viewing_time': 10600}, {'page_index': 3, 'viewing_time': 2250}]",,,,,,,,,,,,
3,12214,,,instructions,3.0,30799.0,0.0-0.0-4.0-0.0,,m12_100,fi,1754650548223.0,1754650502369.0,"tapping,bat",1,0,m12,null,,,,,,36851,data.txt,"[{'page_index': 0, 'viewing_time': 4830}, {'page_index': 1, 'viewing_time': 1883}, {'page_index': 2, 'viewing_time': 1418}, {'page_index': 3, 'viewing_time': 949}, {'page_index': 4, 'viewing_time': 819}, {'page_index': 5, 'viewing_time': 2314}]",,,,,,,,,,,,
4,[11999.999999999996],./songs/movementTapAudio/elPesebre.mp3,0.0,audio-button-response,4.0,42832.0,0.0-0.0-5.0-0.0,,m12_100,fi,1754650548223.0,1754650502369.0,"tapping,bat",1,0,m12,null,,,,,,36851,data.txt,,,,,,,[12026.699999988079],0.005333333333333333,0.005333333333333333,0.04,0.04,,
5,2082,Auttaako joku sinua tämän tehtävän suorittamisessa?,0.0,html-button-response,5.0,45717.0,0.0-0.0-7.0,,m12_100,fi,1754650548223.0,1754650502369.0,"tapping,bat",1,0,m12,null,,,,,,36851,data.txt,,,,,,,,,,,,,
0,2105.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,2108.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/honeySuckle/honeysuckleRoseModifiedLow.mp3,113,fi,1756478738639.0,1756478688639.0,"tapping,bat",3,3,m12,null,,,,,,37180,data.txt,,,,,,,,,,,,,
1,42306.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,44419.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/honeySuckle/honeysuckleRoseModifiedLow.mp3,113,fi,1756478738639.0,1756478688639.0,"tapping,bat",3,3,m12,null,0.0,7.0,1.0,,,37180,data.txt,,,,,,,,,,,,,
2,3607.0,,{'Q0': 1},survey-likert,2.0,48042.0,0.0-0.0-2.0,,113,fi,1756478738639.0,1756478688639.0,"tapping,bat",3,3,m12,null,,,,,,37180,data.txt,,,,,,,,,,,,[0],
3,1789.0,,{'Q0': 1},survey-likert,3.0,49834.0,0.0-0.0-3.0,,113,fi,1756478738639.0,1756478688639.0,"tapping,bat",3,3,m12,null,,,,,,37180,data.txt,,,,,,,,,,,,[0],
0,7743.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,7755.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/eclecticElectric/eclecticElectricModifiedLow.mp3,110,fi,1751388280146.0,1751388241581.0,"tapping,bat",3,7,m12,null,,,,,,33978,data.txt,,,,,,,,,,,,,
1,23317.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,31075.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/eclecticElectric/eclecticElectricModifiedLow.mp3,110,fi,1751388280146.0,1751388241581.0,"tapping,bat",3,7,m12,null,0.0,2.0,2.0,,,33978,data.txt,,,,,,,,,,,,,
2,2051.0,,{'Q0': 3},survey-likert,2.0,33131.0,0.0-0.0-2.0,,110,fi,1751388280146.0,1751388241581.0,"tapping,bat",3,7,m12,null,,,,,,33978,data.txt,,,,,,,,,,,,[0],
3,1337.0,,{'Q0': 3},survey-likert,3.0,34472.0,0.0-0.0-3.0,,110,fi,1751388280146.0,1751388241581.0,"tapping,bat",3,7,m12,null,,,,,,33978,data.txt,,,,,,,,,,,,[0],
0,1199.0,,,instructions,0.0,1201.0,0.0-0.0-0.0,,113,fi,1756478255543.0,1756478254156.0,"tapping,bat",0.0,0.0,m12,null,,,,,,37174,data.txt,"[{'page_index': 0, 'viewing_time': 1198}]",,,,,,,,,,,,
0,361.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,361.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/training/trainingBaseModified.mp3,m12_100,fi,1754650692467.0,1754650667936.0,"bat,tapping",2,1,m12,null,,,,,,36856,data.txt,,,,,,,,,,,,,
1,16846.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,17209.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/training/trainingBaseModified.mp3,m12_100,fi,1754650692467.0,1754650667936.0,"bat,tapping",2,1,m12,null,7.0,7.0,6.0,,,36856,data.txt,,,,,,,,,,,,,
2,5074.0,,{'Q0': 2},survey-likert,2.0,22285.0,0.0-0.0-2.0,,m12_100,fi,1754650692467.0,1754650667936.0,"bat,tapping",2,1,m12,null,,,,,,36856,data.txt,,,,,,,,,,,,[0],
3,2111.0,,{'Q0': 1},survey-likert,3.0,24399.0,0.0-0.0-3.0,,m12_100,fi,1754650692467.0,1754650667936.0,"bat,tapping",2,1,m12,null,,,,,,36856,data.txt,,,,,,,,,,,,[0],
0,2639.0,,,instructions,0.0,2641.0,0.0-0.0-0.0,,m12_100,fi,1743607378353.0,1743607281842.0,"tapping,bat",3,0,m12,null,,,,,,24780,data.txt,"[{'page_index': 0, 'viewing_time': 2638}]",,,,,,,,,,,,
1,93606.0,,,instructions,1.0,96247.0,0.0-0.0-1.0,,m12_100,fi,1743607378353.0,1743607281842.0,"tapping,bat",3,0,m12,null,,,,,,24780,data.txt,"[{'page_index': 0, 'viewing_time': 4337}, {'page_index': 1, 'viewing_time': 23678}, {'page_index': 2, 'viewing_time': 3331}, {'page_index': 3, 'viewing_time': 1324}, {'page_index': 4, 'viewing_time': 15654}, {'page_index': 5, 'viewing_time': 13305}, {'page_index': 6, 'viewing_time': 4694}, {'page_index': 7, 'viewing_time': 9904}, {'page_index': 8, 'viewing_time': 1310}, {'page_index': 9, 'viewing_time': 12009}, {'page_index': 10, 'viewing_time': 4061}]",,,,,,,,,,,,
0,921.0,,,instructions,0.0,926.0,0.0-0.0-0.0,,m12_100,fi,1747598872228.0,1747598826353.0,"tapping,bat",3,0,m12,null,,,,,,29602,data.txt,"[{'page_index': 0, 'viewing_time': 920}]",,,,,,,,,,,,
1,44509.0,,,instructions,1.0,45437.0,0.0-0.0-1.0,,m12_100,fi,1747598872228.0,1747598826353.0,"tapping,bat",3,0,m12,null,,,,,,29602,data.txt,"[{'page_index': 0, 'viewing_time': 1270}, {'page_index': 1, 'viewing_time': 12277}, {'page_index': 2, 'viewing_time': 3042}, {'page_index': 3, 'viewing_time': 1472}, {'page_index': 4, 'viewing_time': 9019}, {'page_index': 5, 'viewing_time': 8161}, {'page_index': 6, 'viewing_time': 2088}, {'page_index': 7, 'viewing_time': 1411}, {'page_index': 8, 'viewing_time': 2379}, {'page_index': 9, 'viewing_time': 1670}, {'page_index': 10, 'viewing_time': 1720}]",,,,,,,,,,,,
0,1896.0,,,instructions,0.0,1904.0,0.0-0.0-0.0,,m12_100,fi,1744565332572.0,1744565265680.0,"bat,tapping",2,0,m12,null,,,,,,26478,data.txt,"[{'page_index': 0, 'viewing_time': 1893}]",,,,,,,,,,,,
1,64770.0,,,instructions,1.0,66679.0,0.0-0.0-1.0,,m12_100,fi,1744565332572.0,1744565265680.0,"bat,tapping",2,0,m12,null,,,,,,26478,data.txt,"[{'page_index': 0, 'viewing_time': 3847}, {'page_index': 1, 'viewing_time': 13185}, {'page_index': 2, 'viewing_time': 2900}, {'page_index': 3, 'viewing_time': 3615}, {'page_index': 4, 'viewing_time': 14128}, {'page_index': 5, 'viewing_time': 6958}, {'page_index': 6, 'viewing_time': 3952}, {'page_index': 7, 'viewing_time': 5010}, {'page_index': 8, 'viewing_time': 3831}, {'page_index': 9, 'viewing_time': 4713}, {'page_index': 10, 'viewing_time': 2629}]",,,,,,,,,,,,
0,18029.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,18033.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/eclecticElectric/eclecticElectricModifiedLow.mp3,232,fi,1759312877393.0,1759312819142.0,"tapping,bat",3,7,m12,null,,,,,,37738,data.txt,,,,,,,,,,,,,
1,35950.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,53984.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/eclecticElectric/eclecticElectricModifiedLow.mp3,232,fi,1759312877393.0,1759312819142.0,"tapping,bat",3,7,m12,null,3.0,7.0,1.0,,,37738,data.txt,,,,,,,,,,,,,
2,1889.0,,{'Q0': 1},survey-likert,2.0,55875.0,0.0-0.0-2.0,,232,fi,1759312877393.0,1759312819142.0,"tapping,bat",3,7,m12,null,,,,,,37738,data.txt,,,,,,,,,,,,[0],
3,1705.0,,{'Q0': 1},survey-likert,3.0,57586.0,0.0-0.0-3.0,,232,fi,1759312877393.0,1759312819142.0,"tapping,bat",3,7,m12,null,,,,,,37738,data.txt,,,,,,,,,,,,[0],
0,3448.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,3455.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/softSand/softSandModifiedLow.mp3,m12_100,fi,1743607609703.0,1743607574624.0,"tapping,bat",3,6,m12,null,,,,,,24787,data.txt,,,,,,,,,,,,,
1,26367.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,29823.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/softSand/softSandModifiedLow.mp3,m12_100,fi,1743607609703.0,1743607574624.0,"tapping,bat",3,6,m12,null,3.0,10.0,5.0,,,24787,data.txt,,,,,,,,,,,,,
2,3661.0,,{'Q0': 0},survey-likert,2.0,33488.0,0.0-0.0-2.0,,m12_100,fi,1743607609703.0,1743607574624.0,"tapping,bat",3,6,m12,null,,,,,,24787,data.txt,,,,,,,,,,,,[0],
3,1329.0,,{'Q0': 0},survey-likert,3.0,34820.0,0.0-0.0-3.0,,m12_100,fi,1743607609703.0,1743607574624.0,"tapping,bat",3,6,m12,null,,,,,,24787,data.txt,,,,,,,,,,,,[0],
0,5997.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,6018.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/eclecticElectric/eclecticElectricModifiedLow.mp3,m12_100,fi,1749475996229.0,1749475924769.0,"bat,tapping",2,7,m12,null,,,,,,32040,data.txt,,,,,,,,,,,,,
1,58274.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,64299.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/eclecticElectric/eclecticElectricModifiedLow.mp3,m12_100,fi,1749475996229.0,1749475924769.0,"bat,tapping",2,7,m12,null,0.0,12.0,2.0,,,32040,data.txt,,,,,,,,,,,,,
2,3892.0,,{'Q0': 3},survey-likert,2.0,68204.0,0.0-0.0-2.0,,m12_100,fi,1749475996229.0,1749475924769.0,"bat,tapping",2,7,m12,null,,,,,,32040,data.txt,,,,,,,,,,,,[0],
