,id,uuid,studyCode,startDateJATOS,endDateJATOS,duration,lastSeenDate,studyState,urlQueryParameters,workerId,workerType,batchId,batchUuid,batchTitle,groupId,componentResults,message,lang,user,trialIndex,nodeIndex,alicia,userID,studyID,uniqueID
6337,29603,aad66f5a-e164-43fc-b94e-2cee730b398d,PKudyqAmMau,1747598872669,,,1747598873921.0,DATA_RETRIEVED,"{'trialIndex': '1', 'studyID': 'm12', 'nodeIndex': '3', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",28929,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 33743, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1747598872756, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_29603/comp-result_33743', 'data': {'size': 50509, 'sizeHumanReadable': '50.5 kB'}, 'files': []}]",,fi,m12_100,1,3,,,m12,null
6338,29604,4a06fba9-a98c-4954-9dd7-d6423b0c123e,PKudyqAmMau,1747598919962,,,1747598921440.0,DATA_RETRIEVED,"{'trialIndex': '2', 'studyID': 'm12', 'nodeIndex': '3', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",28930,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 33744, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1747598920031, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_29604/comp-result_33744', 'data': {'size': 50613, 'sizeHumanReadable': '50.6 kB'}, 'files': []}]",,fi,m12_100,2,3,,,m12,null
6339,29605,2680d015-41ec-419b-bedf-f99d06f893f0,PKudyqAmMau,1747598975894,,,1747598977616.0,DATA_RETRIEVED,"{'trialIndex': '3', 'studyID': 'm12', 'nodeIndex': '3', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",28931,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 33745, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1747598975977, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_29605/comp-result_33745', 'data': {'size': 50241, 'sizeHumanReadable': '50.2 kB'}, 'files': []}]",,fi,m12_100,3,3,,,m12,null
6340,29606,b016836f-bb36-4b28-ae13-d941fd4599df,PKudyqAmMau,1747599037758,,,1747599038912.0,DATA_RETRIEVED,"{'trialIndex': '4', 'studyID': 'm12', 'nodeIndex': '3', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",28932,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 33746, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1747599037825, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_29606/comp-result_33746', 'data': {'size': 50088, 'sizeHumanReadable': '50.1 kB'}, 'files': []}]",,fi,m12_100,4,3,,,m12,null
6341,29607,c2fcaa82-0f20-4a6a-8af5-4b2f9aeec8f6,PKudyqAmMau,1747599080104,,,1747599081442.0,DATA_RETRIEVED,"{'trialIndex': '5', 'studyID': 'm12', 'nodeIndex': '3', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",28933,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 33747, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1747599080175, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_29607/comp-result_33747', 'data': {'size': 50164, 'sizeHumanReadable': '50.2 kB'}, 'files': []}]",,fi,m12_100,5,3,,,m12,null
6342,29608,84634d3c-64bd-4d06-b0d6-814f78177d79,PKudyqAmMau,1747599105900,,,1747599107358.0,DATA_RETRIEVED,"{'trialIndex': '6', 'studyID': 'm12', 'nodeIndex': '3', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",28934,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 33748, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1747599105957, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_29608/comp-result_33748', 'data': {'size': 50309, 'sizeHumanReadable': '50.3 kB'}, 'files': []}]",,fi,m12_100,6,3,,,m12,null
6343,29609,a2b77789-0987-4670-8676-672d7b7fa031,PKudyqAmMau,1747599179026,,,1747599290268.0,DATA_RETRIEVED,"{'trialIndex': '7', 'studyID': 'm12', 'nodeIndex': '3', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",28935,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 33749, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1747599179200, 'endDate': 1747599289921, 'duration': '00:01:50', 'componentState': 'RELOADED', 'path': '/study_result_29609/comp-result_33749', 'data': {'size': 50224, 'sizeHumanReadable': '50.2 kB'}, 'files': []}, {'id': 33752, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1747599289921, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_29609/comp-result_33752', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}]",,fi,m12_100,7,3,,,m12,null
6344,29610,f3e04cfe-c45e-4074-819a-07757ff9cf38,PKudyqAmMau,1747599243629,1747599246238.0,00:00:02,1747599244596.0,FINISHED,"{'trialIndex': '0', 'studyID': 'm12', 'nodeIndex': '4', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",28936,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 33750, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1747599243698, 'endDate': 1747599246238, 'duration': '00:00:02', 'componentState': 'FINISHED', 'path': '/study_result_29610/comp-result_33750', 'data': {'size': 39035, 'sizeHumanReadable': '39.0 kB'}, 'files': []}]",,fi,m12_100,0,4,,,m12,null
6345,29611,a0277223-3fad-4cce-adea-9b923ada9080,PKudyqAmMau,1747599269808,,,1747599271072.0,DATA_RETRIEVED,"{'trialIndex': '0', 'studyID': 'm12', 'nodeIndex': '1', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",28937,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 33751, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1747599269885, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_29611/comp-result_33751', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}]",,fi,m12_100,0,1,,,m12,null
6411,29747,74c7d9e3-f3a5-4777-92d9-2b3dabccc46b,PKudyqAmMau,1747838482658,,,1747838524121.0,DATA_RETRIEVED,"{'studyID': 'm12', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",29073,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 33923, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1747838482699, 'endDate': 1747838523964, 'duration': '00:00:41', 'componentState': 'RELOADED', 'path': '/study_result_29747/comp-result_33923', 'data': {'size': 39731, 'sizeHumanReadable': '39.7 kB'}, 'files': []}, {'id': 33925, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1747838523964, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_29747/comp-result_33925', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}]",,fi,m12_100,,,,,m12,null
6412,29748,462b3b8f-74ac-4342-b20d-b72e1ef9989f,PKudyqAmMau,1747838484289,,,1747838484657.0,DATA_RETRIEVED,"{'trialIndex': '0', 'studyID': 'm12', 'nodeIndex': '1', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",29074,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 33924, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1747838484325, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_29748/comp-result_33924', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}]",,fi,m12_100,0,1,,,m12,null
7096,32031,48adbf20-8a56-41e2-b6d9-10e0e2efe56f,PKudyqAmMau,1749474642976,1749475996673.0,00:22:33,1749474644151.0,FAIL,"{'studyID': 'm12', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",31354,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 36780, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1749474643081, 'endDate': 1749475996673, 'duration': '00:22:33', 'componentState': 'FAIL', 'path': '/study_result_32031/comp-result_36780', 'data': {'size': 38991, 'sizeHumanReadable': '39.0 kB'}, 'files': []}]",Closed by JATOS: Too many unfinished studies open in the same browser.,fi,m12_100,,,,,m12,null
7097,32032,0571871c-eeef-4e84-8224-c7ead0266a1d,PKudyqAmMau,1749474646083,1749476206867.0,00:26:00,1749474649090.0,FAIL,"{'trialIndex': '0', 'studyID': 'm12', 'nodeIndex': '1', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",31355,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 36781, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1749474646165, 'endDate': 1749474648104, 'duration': '00:00:01', 'componentState': 'RELOADED', 'path': '/study_result_32032/comp-result_36781', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}, {'id': 36782, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1749474648104, 'endDate': 1749474648366, 'duration': '00:00:00', 'componentState': 'RELOADED', 'path': '/study_result_32032/comp-result_36782', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}, {'id': 36783, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1749474648366, 'endDate': 1749474648429, 'duration': '00:00:00', 'componentState': 'RELOADED', 'path': '/study_result_32032/comp-result_36783', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}, {'id': 36784, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1749474648430, 'endDate': 1749476206868, 'duration': '00:25:58', 'componentState': 'FAIL', 'path': '/study_result_32032/comp-result_36784', 'data': {'size': 52995, 'sizeHumanReadable': '53.0 kB'}, 'files': []}]",Closed by JATOS: Too many unfinished studies open in the same browser.,fi,m12_100,0,1,,,m12,null
