TIME,LABEL
0.730158730,1.1
1.190022676,1.2
1.639478458,1.3
2.110113379,1.4
2.570521542,2.1
3.010634921,2.2
3.467755102,2.3
3.920045351,2.4
4.368639456,3.1
4.805600907,3.2
5.265464853,3.3
5.735328798,3.4
6.184195011,4.1
6.606145125,4.2
7.068911565,4.3
7.500680272,4.4
7.962834467,5.1
8.406598639,5.2
8.859115646,5.3
9.306961451,5.4
9.760385488,6.1
10.216258503,6.2
10.680748299,6.3
11.122789116,6.4
11.601224490,7.1
12.071519274,7.2
12.513287982,7.3
12.962312925,7.4
13.406349206,8.1
13.870657596,8.2
14.297755102,8.3
14.760997732,8.4
15.343673469,9.1
16.121904762,9.2
16.897551020,9.3
17.640430839,9.4
18.402539683,10.1
19.150544218,10.2
19.899047619,10.3
20.660272109,10.4
21.427188209,11.1
22.181791383,11.2
22.933446712,11.3
23.705102041,11.4
24.473174603,12.1
25.207097506,12.2
25.952947846,12.3
26.697800454,12.4
27.462267574,13.1
28.241768707,13.2
28.993605442,13.3
29.762539683,13.4
30.535283447,14.1
31.289433107,14.2
32.040634921,14.3
32.787301587,14.4
33.550090703,15.1
34.346666667,15.2
35.088253968,15.3
35.841632653,15.4
36.601904762,16.1
37.330476190,16.2
38.112267574,16.3
38.865487528,16.4
39.605804989,17.1
40.307301587,17.2
40.890045351,17.3
41.485532880,17.4
42.101587302,18.1
42.701451247,18.2
43.312108844,18.3
43.893446712,18.4
44.501179138,19.1
45.113650794,19.2
45.741746032,19.3
46.333582766,19.4
46.913605442,20.1
47.514807256,20.2
48.130612245,20.3
48.741111111,20.4
49.323741497,21.1
49.909954649,21.2
50.538707483,21.3
51.151020408,21.4
51.791020408,22.1
52.401632653,22.2
53.006417234,22.3
53.639614512,22.4
54.240000000,23.1
54.847346939,23.2
55.444897959,23.3
56.035555556,23.4
56.678458050,24.1
57.310068027,24.2
57.917188209,24.3
58.508004535,24.4
59.131383220,25.1
59.762154195,25.2
60.366099773,25.3
60.974467120,25.4
61.594172336,26.1
62.217868481,26.2
62.831020408,26.3
