TIME,LABEL
0.330158730,1.1
1.113832200,1.2
1.840476190,1.3
2.575963719,1.4
3.341655329,2.1
4.092517007,2.2
4.843650794,2.3
5.591950113,2.4
6.352585034,3.1
7.118798186,3.2
7.843832200,3.3
8.545873016,3.4
9.309365079,4.1
10.053174603,4.2
10.829229025,4.3
11.568571429,4.4
12.348095238,5.1
13.077188209,5.2
13.832970522,5.3
14.570521542,5.4
15.340748299,6.1
16.100907029,6.2
16.838594104,6.3
17.570975057,6.4
18.302585034,7.1
19.071496599,7.2
19.825374150,7.3
20.558503401,7.4
21.314013605,8.1
22.091405896,8.2
22.853945578,8.3
23.593877551,8.4
24.312063492,9.1
25.054625850,9.2
25.691972789,9.3
26.275147392,9.4
26.832811791,10.1
27.458321995,10.2
28.058866213,10.3
28.683378685,10.4
29.275419501,11.1
29.867482993,11.2
30.474376417,11.3
31.063945578,11.4
31.683922902,12.1
32.274263039,12.2
32.861111111,12.3
33.460317460,12.4
34.060430839,13.1
34.658662132,13.2
35.239909297,13.3
35.856734694,13.4
36.466213152,14.1
37.069909297,14.2
37.703401361,14.3
38.276621315,14.4
38.875464853,15.1
39.471224490,15.2
40.041020408,15.3
40.673015873,15.4
41.261632653,16.1
41.844126984,16.2
42.467687075,16.3
43.073015873,16.4
43.668367347,17.1
44.284807256,17.2
44.861836735,17.3
45.388480726,17.4
45.804512472,18.1
46.271428571,18.2
46.724013605,18.3
47.178435374,18.4
47.608163265,19.1
48.058571429,19.2
48.519297052,19.3
48.958639456,19.4
49.407709751,20.1
49.850770975,20.2
50.331950113,20.3
50.765192744,20.4
51.207006803,21.1
51.675623583,21.2
52.139274376,21.3
52.575396825,21.4
53.032199546,22.1
53.481360544,22.2
53.934149660,22.3
54.376870748,22.4
54.822312925,23.1
55.283922902,23.2
55.756077098,23.3
56.189387755,23.4
56.616575964,24.1
57.059455782,24.2
57.544217687,24.3
57.965646259,24.4
58.426916100,25.1
58.907641723,25.2
59.344557823,25.3
59.799591837,25.4
60.235668934,26.1
60.712494331,26.2
61.154036281,26.3
61.579410431,26.4
62.027573696,27.1
62.523582766,27.2
