TIME,LABEL
1.224489796,1.1
1.982312925,1.2
2.741678005,1.3
3.494603175,1.4
4.255532880,2.1
4.976417234,2.2
5.726893424,2.3
6.478208617,2.4
7.253333333,3.1
8.019614512,3.2
8.741882086,3.3
9.476984127,3.4
10.232222222,4.1
10.988480726,4.2
11.737301587,4.3
12.473809524,4.4
13.224285714,5.1
13.978730159,5.2
14.707256236,5.3
15.456780045,5.4
16.205215420,6.1
16.965124717,6.2
17.755646259,6.3
18.512857143,6.4
19.283174603,7.1
20.040068027,7.2
20.758004535,7.3
21.532562358,7.4
22.299637188,8.1
23.030000000,8.2
23.768367347,8.3
24.537687075,8.4
25.179138322,9.1
25.625487528,9.2
26.067936508,9.3
26.553469388,9.4
27.005804989,10.1
27.466349206,10.2
27.932517007,10.3
28.373151927,10.4
28.839818594,11.1
29.297052154,11.2
29.750566893,11.3
30.185941043,11.4
30.659160998,12.1
31.133492063,12.2
31.577482993,12.3
32.023106576,12.4
32.480022676,13.1
32.940702948,13.2
33.396961451,13.3
33.857097506,13.4
34.312562358,14.1
34.764512472,14.2
35.216984127,14.3
35.640997732,14.4
36.136190476,15.1
36.591746032,15.2
37.048775510,15.3
37.507256236,15.4
37.948231293,16.1
38.400000000,16.2
38.870204082,16.3
39.319455782,16.4
39.767800454,17.1
40.301133787,17.2
40.910725624,17.3
41.531315193,17.4
42.106530612,18.1
42.728911565,18.2
43.307120181,18.3
43.926984127,18.4
44.516712018,19.1
45.123922902,19.2
45.712176871,19.3
46.315963719,19.4
46.897052154,20.1
47.521383220,20.2
48.092925170,20.3
48.717573696,20.4
49.317664399,21.1
49.932086168,21.2
50.557551020,21.3
51.140181406,21.4
51.771111111,22.1
52.379977324,22.2
53.012426304,22.3
53.607165533,22.4
54.253990930,23.1
54.851269841,23.2
55.439251701,23.3
56.055578231,23.4
56.663673469,24.1
57.277800454,24.2
57.906077098,24.3
58.507619048,24.4
59.127845805,25.1
59.745170068,25.2
60.367210884,25.3
60.968503401,25.4
61.577142857,26.1
62.228299320,26.2
62.824512472,26.3
