TIME,LABEL
0.060000000,1.1
0.806666667,1.2
1.536000000,1.3
2.302875000,1.4
3.077041667,2.1
3.825125000,2.2
4.537416667,2.3
5.305395833,2.4
6.061979167,3.1
6.820583333,3.2
7.539541667,3.3
8.285312500,3.4
9.057562500,4.1
9.793708333,4.2
10.540000000,4.3
11.303666667,4.4
12.064000000,5.1
12.808000000,5.2
13.536000000,5.3
14.304000000,5.4
15.061458333,6.1
15.800000000,6.2
16.536000000,6.3
17.313208333,6.4
18.056000000,7.1
18.816000000,7.2
19.560000000,7.3
20.304000000,7.4
21.061604167,8.1
21.793666667,8.2
22.531145833,8.3
23.327958333,8.4
24.072000000,9.1
24.812854167,9.2
25.461666667,9.3
26.060958333,9.4
26.638458333,10.1
27.230083333,10.2
27.850666667,10.3
28.434958333,10.4
29.028562500,11.1
29.635895833,11.2
30.218187500,11.3
30.824833333,11.4
31.434666667,12.1
32.041333333,12.2
32.629333333,12.3
33.220166667,12.4
33.852000000,13.1
34.458000000,13.2
35.042000000,13.3
35.644000000,13.4
36.237937500,14.1
36.828729167,14.2
37.417041667,14.3
38.026208333,14.4
38.644291667,15.1
39.246000000,15.2
39.846666667,15.3
40.446666667,15.4
41.053333333,16.1
41.640000000,16.2
42.233333333,16.3
42.853333333,16.4
43.438937500,17.1
44.040000000,17.2
44.660000000,17.3
45.207312500,17.4
45.634354167,18.1
46.082270833,18.2
46.505291667,18.3
46.980145833,18.4
47.424000000,19.1
47.888250000,19.2
48.355958333,19.3
48.786000000,19.4
49.242000000,20.1
49.702208333,20.2
50.132583333,20.3
50.581333333,20.4
51.040000000,21.1
51.494166667,21.2
51.935729167,21.3
52.394708333,21.4
52.831812500,22.1
53.292000000,22.2
53.744645833,22.3
54.220104167,22.4
54.674375000,23.1
55.088229167,23.2
55.528020833,23.3
56.017437500,23.4
56.470541667,24.1
56.911020833,24.2
57.361645833,24.3
57.812000000,24.4
58.253333333,25.1
58.720583333,25.2
59.147041667,25.3
59.595291667,25.4
60.047479167,26.1
60.511833333,26.2
60.963479167,26.3
61.413333333,26.4
61.856145833,27.1
62.322354167,27.2
62.764229167,27.3
