TIME,LABEL
1.211791383,1.1
1.982040816,1.2
2.753356009,2.1
3.484104308,2.2
4.249251701,2.3
5.015510204,2.4
5.744693878,3.1
6.504489796,3.2
7.265328798,3.3
8.000861678,3.4
8.750136054,4.1
9.481473923,4.2
10.231292517,4.3
11.004081633,4.4
11.740997732,5.1
12.473469388,5.2
13.209183673,5.3
13.970453515,5.4
14.731882086,6.1
15.459705215,6.2
16.216485261,6.3
16.999183673,6.4
17.765034014,7.1
18.520861678,7.2
19.268934240,7.3
20.066167800,7.4
20.786938776,8.1
21.492970522,8.2
22.257188209,8.3
23.035963719,8.4
23.773106576,9.1
24.499024943,9.2
25.240816327,9.3
25.859047619,9.4
26.460385488,10.1
27.083537415,10.2
27.691950113,10.3
28.286439909,10.4
28.892562358,11.1
29.486122449,11.2
30.141700680,11.3
30.747324263,11.4
31.332471655,12.1
31.920566893,12.2
32.508503401,12.3
33.125918367,12.4
33.717052154,13.1
34.322607710,13.2
34.912335601,13.3
35.559206349,13.4
36.165079365,14.1
36.768321995,14.2
37.373968254,14.3
37.978412698,14.4
38.593015873,15.1
39.200430839,15.2
39.798117914,15.3
40.433945578,15.4
41.013197279,16.1
41.626371882,16.2
42.216417234,16.3
42.840385488,16.4
43.450113379,17.1
44.035396825,17.2
44.645102041,17.3
45.201269841,17.4
45.663492063,18.1
46.111746032,18.2
46.560430839,18.3
46.995374150,18.4
47.439773243,19.1
47.899863946,19.2
48.355555556,19.3
48.791655329,19.4
49.243877551,20.1
49.726621315,20.2
50.176031746,20.3
50.616462585,20.4
51.051473923,21.1
51.516462585,21.2
51.972335601,21.3
52.452040816,21.4
52.889251701,22.1
53.360317460,22.2
53.796167800,22.3
54.273786848,22.4
54.760000000,23.1
55.200589569,23.2
55.664580499,23.3
56.128435374,23.4
56.570408163,24.1
57.027868481,24.2
57.487414966,24.3
57.959909297,24.4
58.401360544,25.1
58.872154195,25.2
59.345714286,25.3
59.811700680,25.4
60.276145125,26.1
60.719659864,26.2
61.176235828,26.3
61.660589569,26.4
62.119183673,27.1
62.563265306,27.2
