TIME,LABEL
0.122083333,1.2
0.737458333,2.1
1.333416667,2.2
1.944937500,2.3
2.525250000,2.4
3.113479167,3.1
3.712291667,3.2
4.350458333,3.3
4.941687500,3.4
5.569437500,4.1
6.185395833,4.2
6.795083333,4.3
7.403854167,4.4
7.994104167,5.1
8.603666667,5.2
9.233770833,5.3
9.856125000,5.4
10.452187500,6.1
11.062395833,6.2
11.717500000,6.3
12.317145833,6.4
12.900000000,7.1
13.493333333,7.2
14.104062500,7.3
14.695125000,7.4
15.319500000,8.1
15.885270833,8.2
16.564229167,8.3
17.141270833,8.4
17.745708333,9.1
18.366541667,9.2
19.005062500,9.3
19.580000000,9.4
20.160000000,10.1
20.634000000,10.2
21.105333333,10.3
21.529958333,10.4
21.976979167,11.1
22.443750000,11.2
22.907187500,11.3
23.364187500,11.4
23.789416667,12.1
24.258166667,12.2
24.692625000,12.3
25.137375000,12.4
25.602000000,13.1
26.052000000,13.2
26.515187500,13.3
26.967291667,13.4
27.412000000,14.1
27.857291667,14.2
28.316812500,14.3
28.787791667,14.4
29.240583333,15.1
29.699000000,15.2
30.168833333,15.3
30.587000000,15.4
31.082979167,16.1
31.501000000,16.2
31.967145833,16.3
32.417833333,16.4
32.843437500,17.1
33.311416667,17.2
33.760500000,17.3
34.218687500,17.4
34.684687500,18.1
35.196000000,18.2
35.930104167,18.3
36.682708333,18.4
37.460270833,19.1
38.206375000,19.2
38.948604167,19.3
39.687562500,19.4
40.444604167,20.1
41.170145833,20.2
41.984000000,20.3
42.752000000,20.4
43.488000000,21.1
44.223104167,21.2
44.981833333,21.3
45.754187500,21.4
46.495625000,22.1
47.296000000,22.2
48.042666667,22.3
48.756604167,22.4
49.546666667,23.1
50.255958333,23.2
51.011666667,23.3
51.797333333,23.4
52.565333333,24.1
53.312000000,24.2
54.080000000,24.3
54.794666667,24.4
55.556666667,25.1
56.312666667,25.2
57.060000000,25.3
57.816000000,25.4
58.600000000,26.1
59.326666667,26.2
60.093333333,26.3
60.804541667,26.4
61.613333333,27.1
62.340000000,27.2
