TIME,LABEL
0.046666667,1.1
0.641333333,1.2
1.249625000,1.3
1.840437500,1.4
2.436000000,2.1
3.048000000,2.2
3.640000000,2.3
4.262562500,2.4
4.832291667,3.1
5.438791667,3.2
6.070583333,3.3
6.648000000,3.4
7.240000000,4.1
7.857187500,4.2
8.450979167,4.3
9.068979167,4.4
9.644020833,5.1
10.240000000,5.2
10.832000000,5.3
11.440000000,5.4
12.048000000,6.1
12.648000000,6.2
13.219750000,6.3
13.846687500,6.4
14.440000000,7.1
15.048000000,7.2
15.654312500,7.3
16.243020833,7.4
16.830833333,8.1
17.464229167,8.2
18.038708333,8.3
18.648000000,8.4
19.269000000,9.1
19.860812500,9.2
20.352000000,9.3
20.793562500,9.4
21.254291667,10.1
21.698145833,10.2
22.130541667,10.3
22.600500000,10.4
23.052645833,11.1
23.488291667,11.2
23.934000000,11.3
24.390000000,11.4
24.834000000,12.1
25.296000000,12.2
25.768833333,12.3
26.205833333,12.4
26.652000000,13.1
27.116395833,13.2
27.558000000,13.3
28.026583333,13.4
28.456395833,14.1
28.895916667,14.2
29.349666667,14.3
29.833354167,14.4
30.275062500,15.1
30.724687500,15.2
31.168562500,15.3
31.611020833,15.4
32.071833333,16.1
32.518166667,16.2
32.948750000,16.3
33.424500000,16.4
33.872270833,17.1
34.314000000,17.2
34.747666667,17.3
35.364000000,17.4
36.132000000,18.1
36.858000000,18.2
37.621645833,18.3
38.372208333,18.4
39.102000000,19.1
39.867395833,19.2
40.644000000,19.3
41.376000000,19.4
42.125729167,20.1
42.863687500,20.2
43.589562500,20.3
44.362708333,20.4
45.113895833,21.1
45.870000000,21.2
46.642875000,21.3
47.362291667,21.4
48.107541667,22.1
48.881437500,22.2
49.634020833,22.3
50.384750000,22.4
51.105020833,23.1
51.894083333,23.2
52.635875000,23.3
53.378500000,23.4
54.114812500,24.1
54.877437500,24.2
55.613604167,24.3
56.377041667,24.4
57.091229167,25.1
57.861958333,25.2
58.619000000,25.3
59.365791667,25.4
60.120000000,26.1
60.870000000,26.2
61.584000000,26.3
62.379541667,26.4
