TIME,LABEL
1.028934240,1.3
1.632653061,1.4
2.214603175,2.2
2.809659864,2.3
3.415283447,2.4
4.041609977,3.1
4.610249433,3.2
5.229750567,3.3
5.810816327,3.4
6.445714286,4.1
7.060317460,4.2
7.629206349,4.3
8.259047619,4.4
8.846689342,5.1
9.433605442,5.2
10.033605442,5.3
10.640204082,5.4
11.223786848,6.1
11.810929705,6.2
12.424829932,6.3
13.001950113,6.4
13.626462585,7.1
14.241043084,7.2
14.839659864,7.3
15.485442177,7.4
16.090408163,8.1
16.661451247,8.2
17.253197279,8.3
17.867959184,8.4
18.486031746,9.1
19.094172336,9.2
19.676734694,9.3
20.218775510,9.4
20.680272109,10.1
21.146122449,10.2
21.597687075,10.3
22.059818594,10.4
22.502290249,11.1
22.956984127,11.2
23.430294785,11.3
23.909795918,11.4
24.344988662,12.1
24.767324263,12.2
25.236621315,12.3
25.701111111,12.4
26.139274376,13.1
26.600317460,13.2
27.048253968,13.3
27.502267574,13.4
27.960272109,14.1
28.410861678,14.2
28.906870748,14.3
29.344693878,14.4
29.810861678,15.1
30.269841270,15.2
30.706802721,15.3
31.169931973,15.4
31.632244898,16.1
32.086757370,16.2
32.547551020,16.3
33.003650794,16.4
33.465079365,17.1
33.906938776,17.2
34.364081633,17.3
34.821224490,17.4
35.443809524,18.1
36.244897959,18.2
36.971972789,18.3
37.732426304,18.4
38.442290249,19.1
39.194058957,19.2
39.955192744,19.3
40.729251701,19.4
41.484104308,20.1
42.231292517,20.2
42.947687075,20.3
43.707414966,20.4
44.469841270,21.1
45.228117914,21.2
45.943151927,21.3
46.702743764,21.4
47.470136054,22.1
48.257981859,22.2
48.996870748,22.3
49.790476190,22.4
50.579591837,23.1
51.319206349,23.2
52.093968254,23.3
52.866031746,23.4
53.617301587,24.1
54.367573696,24.2
55.119682540,24.3
55.890566893,24.4
56.690793651,25.1
57.437460317,25.2
58.169433107,25.3
58.967074830,25.4
59.762358277,26.1
60.517006803,26.2
61.273424036,26.3
62.014512472,26.4
62.800476190,27.1
