TIME,LABEL
0.120000000,1.1
0.704145833,1.2
1.315187500,1.3
1.928000000,1.4
2.540145833,2.1
3.120500000,2.2
3.711437500,2.3
4.305250000,2.4
4.889270833,3.1
5.512000000,3.2
6.084770833,3.3
6.674333333,3.4
7.290979167,4.1
7.906958333,4.2
8.508958333,4.3
9.080000000,4.4
9.712000000,5.1
10.287208333,5.2
10.864062500,5.3
11.473750000,5.4
12.114812500,6.1
12.681666667,6.2
13.304000000,6.3
13.875583333,6.4
14.499645833,7.1
15.077770833,7.2
15.691812500,7.3
16.299291667,7.4
16.881854167,8.1
17.524645833,8.2
18.089666667,8.3
18.680937500,8.4
19.294625000,9.1
19.914145833,9.2
20.362666667,9.3
20.803750000,9.4
21.275312500,10.1
21.728000000,10.2
22.186666667,10.3
22.619583333,10.4
23.071791667,11.1
23.530666667,11.2
23.968395833,11.3
24.453604167,11.4
24.895062500,12.1
25.346458333,12.2
25.796229167,12.3
26.222416667,12.4
26.705187500,13.1
27.134166667,13.2
27.605375000,13.3
28.053020833,13.4
28.511479167,14.1
28.938666667,14.2
29.383416667,14.3
29.837104167,14.4
30.284416667,15.1
30.740583333,15.2
31.181729167,15.3
31.625145833,15.4
32.113791667,16.1
32.554666667,16.2
32.990604167,16.3
33.447166667,16.4
33.915375000,17.1
34.373333333,17.2
34.817458333,17.3
35.432000000,17.4
36.180666667,18.1
36.939229167,18.2
37.652187500,18.3
38.394208333,18.4
39.170145833,19.1
39.941020833,19.2
40.685875000,19.3
41.421354167,19.4
42.185750000,20.1
42.916062500,20.2
43.665645833,20.3
44.413416667,20.4
45.158937500,21.1
45.903083333,21.2
46.660562500,21.3
47.400187500,21.4
48.166312500,22.1
48.914208333,22.2
49.647604167,22.3
50.431541667,22.4
51.172416667,23.1
51.921937500,23.2
52.671229167,23.3
53.426687500,23.4
54.114437500,24.1
54.933958333,24.2
55.649291667,24.3
56.414395833,24.4
57.178958333,25.1
57.960125000,25.2
58.645541667,25.3
59.398208333,25.4
60.172833333,26.1
60.922833333,26.2
61.642812500,26.3
62.391020833,26.4
