TIME,LABEL
0.093750000,10.1
0.567750000,10.2
1.008000000,10.3
1.463708333,10.4
1.910729167,11.1
2.377500000,11.2
2.812000000,11.3
3.297937500,11.4
3.732000000,12.1
4.220000000,12.2
4.664000000,12.3
5.112000000,12.4
5.567333333,13.1
6.061500000,13.2
6.486666667,13.3
6.951000000,13.4
7.420000000,14.1
7.890000000,14.2
8.348666667,14.3
8.801333333,14.4
9.254000000,15.1
9.713333333,15.2
10.166666667,15.3
10.629333333,15.4
11.078666667,16.1
11.540000000,16.2
11.970000000,16.3
12.450666667,16.4
12.880000000,17.1
13.337333333,17.2
13.796000000,17.3
14.269333333,18.1
14.712000000,1.2
15.311000000,1.3
16.042104167,1.4
16.833333333,2.1
17.571708333,2.2
18.369958333,2.3
19.097541667,2.4
19.862895833,3.1
20.596375000,3.2
21.359500000,3.3
22.093833333,3.4
22.875812500,4.1
23.603145833,4.2
24.362625000,4.3
25.122354167,4.4
25.846520833,5.1
26.636000000,5.2
27.398479167,5.3
28.149791667,5.4
28.866000000,6.1
29.648000000,6.2
30.388125000,6.3
31.155833333,6.4
31.904000000,7.1
32.674020833,7.2
33.425604167,7.3
34.165416667,7.4
34.895291667,8.1
35.668000000,8.2
36.409645833,8.3
37.184000000,8.4
37.924000000,9.1
38.700000000,9.2
39.430020833,9.3
40.192375000,9.4
40.767291667,10.1
41.389625000,10.2
41.962020833,10.3
42.569729167,10.4
43.153500000,11.1
43.779687500,11.2
44.369604167,11.3
44.960708333,11.4
45.577312500,12.1
46.158958333,12.2
46.790000000,12.3
47.381729167,12.4
48.006000000,13.1
48.589333333,13.2
49.210000000,13.3
49.816666667,13.4
50.400000000,14.1
50.997333333,14.2
51.627333333,14.3
52.229333333,14.4
52.822000000,15.1
53.417583333,15.2
54.021333333,15.3
54.644000000,15.4
55.230416667,16.1
55.841333333,16.2
56.445166667,16.3
57.045333333,16.4
57.631625000,17.1
58.265520833,17.2
58.861395833,17.3
59.443333333,17.4
60.081312500,18.1
60.661958333,18.2
61.268666667,18.3
61.870666667,18.4
62.484000000,19.1
