TIME,LABEL
0.174166667,10.1
0.920833333,10.2
1.666833333,10.3
2.406000000,10.4
3.148083333,11.1
3.892770833,11.2
4.623208333,11.3
5.359875000,11.4
6.106354167,12.1
6.868750000,12.2
7.613500000,12.3
8.357437500,12.4
9.099854167,13.1
9.829083333,13.2
10.593500000,13.3
11.316333333,13.4
12.042250000,14.1
12.779895833,14.2
13.540375000,14.3
14.298145833,14.4
15.008270833,15.1
15.764416667,15.2
16.528604167,15.3
17.260250000,15.4
18.003583333,16.1
18.747333333,16.2
19.471208333,16.3
20.196354167,16.4
20.943604167,17.1
21.732250000,17.2
22.460166667,17.3
23.193500000,17.4
23.912041667,18.1
24.657125000,18.2
25.235875000,19.2
25.680312500,19.3
26.126541667,19.4
26.580916667,20.1
27.015166667,20.2
27.454541667,20.3
27.910541667,20.4
28.377000000,21.1
28.814541667,21.2
29.253291667,21.3
29.704895833,21.4
30.176125000,22.1
30.598541667,22.2
31.039000000,22.3
31.492541667,22.4
31.939541667,23.1
32.371125000,23.2
32.838000000,23.3
33.262541667,23.4
33.739604167,24.1
34.182541667,24.2
34.624958333,24.3
35.076645833,24.4
35.510916667,25.1
35.961541667,25.2
36.406520833,25.3
36.857083333,25.4
37.322729167,26.1
37.760104167,26.2
38.189541667,26.3
38.633645833,26.4
39.078541667,27.1
39.526541667,27.2
39.963416667,27.3
40.560770833,1.2
41.153437500,1.3
41.744958333,1.2
42.347437500,1.4
42.897875000,2.1
43.528104167,2.2
44.115291667,2.3
44.708770833,2.4
45.324770833,3.1
45.908104167,3.2
46.521229167,3.3
47.096604167,3.4
47.669604167,4.1
48.247479167,4.2
48.860958333,4.3
49.468770833,4.4
50.046770833,5.1
50.653625000,5.2
51.258083333,5.3
51.839437500,5.4
52.432104167,6.1
53.027354167,6.2
53.633437500,6.3
54.211125000,6.4
54.809291667,7.1
55.404854167,7.2
55.993250000,7.3
56.580854167,7.4
57.182916667,8.1
57.789604167,8.2
58.384958333,8.3
58.973166667,8.4
59.561583333,7.3
60.149187500,7.4
60.751250000,8.1
61.357958333,7.2
61.912000000,1.4
62.536000000,2.1
