TIME,LABEL
0.108000000,19.2
0.552437500,19.3
0.998666667,19.4
1.453041667,20.1
1.887291667,20.2
2.326666667,20.3
2.782666667,20.4
3.249125000,21.1
3.686666667,21.2
4.125416667,21.3
4.577020833,21.4
5.048250000,22.1
5.470666667,22.2
5.911125000,22.3
6.364666667,22.4
6.811666667,23.1
7.243250000,23.2
7.710125000,23.3
8.134666667,23.4
8.611729167,24.1
9.030000000,24.2
9.497083333,24.3
9.928333333,24.4
10.383041667,25.1
10.833666667,25.2
11.278645833,25.3
11.718333333,25.4
12.178333333,26.1
12.606666667,26.2
13.061666667,26.3
13.505770833,26.4
13.950666667,27.1
14.398666667,27.2
14.835541667,27.3
15.456000000,1.2
16.202687500,10.2
16.948687500,10.3
17.735354167,10.4
18.429937500,11.1
19.174625000,11.2
19.905062500,11.3
20.641729167,11.4
21.388208333,12.1
22.150604167,12.2
22.895354167,12.3
23.639291667,12.4
24.381708333,13.1
25.110937500,13.2
25.875354167,13.3
26.598187500,13.4
27.324104167,14.1
28.061750000,14.2
28.822229167,14.3
29.580000000,14.4
30.290125000,15.1
31.046270833,15.2
31.810458333,15.3
32.542104167,15.4
33.285437500,16.1
34.029187500,16.2
34.753062500,16.3
35.478208333,16.4
36.225458333,17.1
37.014104167,17.2
37.742020833,17.3
38.475354167,17.4
39.193895833,18.1
39.936000000,1.3
40.558000000,1.4
41.155354167,1.2
41.748041667,1.1
42.339541667,1.2
42.942020833,1.4
43.492458333,2.1
44.122687500,2.2
44.709875000,2.3
45.303354167,2.4
45.919354167,3.1
46.502687500,3.2
47.115812500,3.3
47.691187500,3.4
48.264187500,4.1
48.842062500,4.2
49.455541667,4.3
50.063354167,4.4
50.641354167,5.1
51.248208333,5.2
51.852666667,5.3
52.434020833,5.4
53.026687500,6.1
53.621937500,6.2
54.228020833,6.3
54.805708333,6.4
55.403875000,7.1
55.999437500,7.2
56.587833333,7.3
57.175437500,7.4
57.777500000,8.1
58.384187500,8.2
58.979541667,8.3
59.567770833,8.1
60.174458333,8.2
60.769833333,8.1
61.376520833,8.2
61.936000000,8.3
62.504000000,2.1
