TIME,LABEL
0.143333333,1.1
0.732000000,2.1
1.317333333,2.2
1.931062500,2.3
2.502604167,2.4
3.099000000,3.1
3.680979167,3.2
4.300000000,3.3
4.893333333,3.4
5.496000000,4.1
6.072000000,4.2
6.681895833,4.3
7.260958333,4.4
7.872000000,5.1
8.443812500,5.2
9.017020833,5.3
9.636000000,5.4
10.248583333,6.1
10.836979167,6.2
11.418520833,6.3
12.016666667,6.4
12.610000000,7.1
13.210000000,7.2
13.798583333,7.3
14.389750000,7.4
14.975166667,8.1
15.593833333,8.2
16.193291667,8.3
16.758000000,8.4
17.356395833,9.1
17.958625000,9.2
18.565083333,9.3
19.136729167,9.4
19.733333333,10.1
20.244000000,10.2
20.687333333,10.3
21.136833333,10.4
21.557000000,11.1
22.026666667,11.2
22.469333333,11.3
22.935229167,11.4
23.353625000,12.1
23.808270833,12.2
24.253333333,12.3
24.698666667,12.4
25.142666667,13.1
25.578666667,13.2
26.045875000,13.3
26.473500000,13.4
26.925895833,14.1
27.393958333,14.2
27.827041667,14.3
28.274666667,14.4
28.712729167,15.1
29.170666667,15.2
29.610604167,15.3
30.068666667,15.4
30.493979167,16.1
30.947583333,16.2
31.403645833,16.3
31.846937500,16.4
32.296000000,17.1
32.731541667,17.2
33.163479167,17.3
33.609333333,17.4
34.055645833,18.1
34.517645833,18.2
34.977416667,18.3
35.701333333,18.4
36.480000000,19.1
37.165979167,19.2
37.924937500,19.3
38.665041667,19.4
39.407041667,20.1
40.144687500,20.2
40.884062500,20.3
41.619708333,20.4
42.339083333,21.1
43.132375000,21.2
43.829083333,21.3
44.608000000,21.4
45.341437500,22.1
46.090666667,22.2
46.803791667,22.3
47.583729167,22.4
48.341333333,23.1
49.032187500,23.2
49.792000000,23.3
50.554666667,23.4
51.300000000,24.1
52.028000000,24.2
52.780000000,24.3
53.500000000,24.4
54.288000000,25.1
55.000000000,25.2
55.744000000,25.3
56.492000000,25.4
57.232000000,26.1
57.936000000,26.2
58.720000000,26.3
59.452000000,26.4
60.200000000,27.1
60.940000000,27.2
61.684000000,27.3
62.416000000,27.4
