TIME,LABEL
0.156000000,1.1
0.900000000,1.2
1.620000000,1.3
2.364000000,1.4
3.095187500,2.1
3.858645833,2.2
4.601833333,2.3
5.336020833,2.4
6.132000000,3.1
6.888000000,3.2
7.609729167,3.3
8.354541667,3.4
9.121541667,4.1
9.853187500,4.2
10.619083333,4.3
11.341395833,4.4
12.087812500,5.1
12.838250000,5.2
13.584958333,5.3
14.369895833,5.4
15.113625000,6.1
15.888000000,6.2
16.644000000,6.3
17.376687500,6.4
18.138291667,7.1
18.876000000,7.2
19.626895833,7.3
20.363541667,7.4
21.125083333,8.1
21.868770833,8.2
22.616937500,8.3
23.376458333,8.4
24.124541667,9.1
24.900000000,9.2
25.368000000,9.3
25.840000000,9.4
26.262729167,10.1
26.736791667,10.2
27.185687500,10.3
27.618812500,10.4
28.084791667,11.1
28.533333333,11.2
28.986666667,11.3
29.446041667,11.4
29.904500000,12.1
30.326666667,12.2
30.770291667,12.3
31.256541667,12.4
31.700000000,13.1
32.141062500,13.2
32.595729167,13.3
33.040000000,13.4
33.493333333,14.1
33.940000000,14.2
34.377041667,14.3
34.865750000,14.4
35.339166667,15.1
35.744875000,15.2
36.195229167,15.3
36.646666667,15.4
37.116833333,16.1
37.573583333,16.2
37.992854167,16.3
38.457125000,16.4
38.914083333,17.1
39.357708333,17.2
39.820000000,17.3
40.353333333,17.4
40.940125000,18.1
41.530145833,18.2
42.109895833,18.3
42.753270833,18.4
43.350229167,19.1
43.960104167,19.2
44.555354167,19.3
45.120229167,19.4
45.720500000,20.1
46.353750000,20.2
46.961833333,20.3
47.548104167,20.4
48.142854167,21.1
48.720895833,21.2
49.302020833,21.3
49.909812500,21.4
50.524666667,22.1
51.133020833,22.2
51.746208333,22.3
52.319833333,22.4
52.933604167,23.1
53.541833333,23.2
54.130041667,23.3
54.684500000,23.4
55.336000000,24.1
55.909645833,24.2
56.521645833,24.3
57.097291667,24.4
57.704625000,25.1
58.292000000,25.2
58.928000000,25.3
59.521020833,25.4
60.106666667,26.1
60.746666667,26.2
61.320000000,26.3
61.926145833,26.4
62.506666667,27.1
