TIME,LABEL
0.152000000,1.1
0.883333333,1.2
1.636666667,1.3
2.410000000,1.4
3.166875000,2.1
3.917000000,2.2
4.673333333,2.3
5.425750000,2.4
6.206666667,3.1
7.008687500,3.2
7.728104167,3.3
8.516187500,3.4
9.241187500,4.1
10.005270833,4.2
10.760000000,4.3
11.538104167,4.4
12.314708333,5.1
13.108458333,5.2
13.851041667,5.3
14.637541667,5.4
15.367791667,6.1
16.140541667,6.2
16.867104167,6.3
17.670562500,6.4
18.390000000,7.1
19.150000000,7.2
19.906666667,7.3
20.665958333,7.4
21.413333333,8.1
22.163833333,8.2
22.916666667,8.3
23.670958333,8.4
24.471062500,9.1
25.252583333,9.2
25.813604167,9.3
26.431895833,9.4
27.037062500,10.1
27.633562500,10.2
28.249916667,10.3
28.833895833,10.4
29.446187500,11.1
30.046666667,11.2
30.642833333,11.3
31.260000000,11.4
31.840958333,12.1
32.444083333,12.2
33.046666667,12.3
33.651645833,12.4
34.260000000,13.1
34.863333333,13.2
35.448479167,13.3
36.039770833,13.4
36.680000000,14.1
37.299916667,14.2
37.892020833,14.3
38.473666667,14.4
39.093479167,15.1
39.710000000,15.2
40.302854167,15.3
40.891187500,15.4
41.477833333,16.1
42.086791667,16.2
42.691187500,16.3
43.296666667,16.4
43.925208333,17.1
44.516062500,17.2
45.076666667,17.3
45.511791667,17.4
46.005875000,18.1
46.440125000,18.2
46.886375000,18.3
47.329770833,18.4
47.813625000,19.1
48.251145833,19.2
48.715083333,19.3
49.199104167,19.4
49.628020833,20.1
50.062333333,20.2
50.521500000,20.3
50.961812500,20.4
51.434083333,21.1
51.892520833,21.2
52.349791667,21.3
52.793666667,21.4
53.223854167,22.1
53.696937500,22.2
54.171833333,22.3
54.618583333,22.4
55.053333333,23.1
55.526666667,23.2
55.967979167,23.3
56.435666667,23.4
56.877687500,24.1
57.317333333,24.2
57.763479167,24.3
58.218583333,24.4
58.684500000,25.1
59.153333333,25.2
59.598291667,25.3
60.053125000,25.4
60.493708333,26.1
60.957791667,26.2
61.400000000,26.3
61.870000000,26.4
62.301895833,27.1
62.787750000,27.2
