TIME,LABEL
0.037333333,1.1
0.483333333,1.2
0.947562500,1.3
1.374083333,1.4
1.863125000,2.1
2.308000000,2.2
2.763520833,2.3
3.202854167,2.4
3.640000000,3.1
4.106666667,3.2
4.566020833,3.3
5.002666667,3.4
5.466666667,4.1
5.937916667,4.2
6.358020833,4.3
6.799375000,4.4
7.258270833,5.1
7.709291667,5.2
8.170666667,5.3
8.586666667,5.4
9.056979167,6.1
9.507875000,6.2
9.971333333,6.3
10.409270833,6.4
10.854625000,7.1
11.323125000,7.2
11.774833333,7.3
12.219437500,7.4
12.657937500,8.1
13.138687500,8.2
13.557708333,8.3
14.024666667,8.4
14.455500000,9.1
14.928000000,9.2
15.612000000,9.3
16.324500000,9.4
17.108604167,10.1
17.867062500,10.2
18.575833333,10.3
19.341270833,10.4
20.067520833,11.1
20.859416667,11.2
21.606791667,11.3
22.349312500,11.4
23.104000000,12.1
23.869104167,12.2
24.634687500,12.3
25.377562500,12.4
26.109354167,13.1
26.848562500,13.2
27.618666667,13.3
28.358729167,13.4
29.092604167,14.1
29.865854167,14.2
30.614520833,14.3
31.359354167,14.4
32.098104167,15.1
32.858958333,15.2
33.593020833,15.3
34.359479167,15.4
35.122854167,16.1
35.867062500,16.2
36.620166667,16.3
37.363625000,16.4
38.106666667,17.1
38.878208333,17.2
39.573333333,17.3
40.288000000,17.4
40.866958333,18.1
41.486916667,18.2
42.053958333,18.3
42.694875000,18.4
43.288770833,19.1
43.888375000,19.2
44.506666667,19.3
45.083145833,19.4
45.686083333,20.1
46.293916667,20.2
46.856916667,20.3
47.494395833,20.4
48.073854167,21.1
48.678041667,21.2
49.304000000,21.3
49.907083333,21.4
50.496000000,22.1
51.104000000,22.2
51.692562500,22.3
52.301750000,22.4
52.907916667,23.1
53.477875000,23.2
54.084791667,23.3
54.712791667,23.4
55.301354167,24.1
55.893333333,24.2
56.478166667,24.3
57.070937500,24.4
57.666312500,25.1
58.287687500,25.2
58.885875000,25.3
59.488875000,25.4
60.077208333,26.1
60.682020833,26.2
61.278000000,26.3
61.891958333,26.4
62.486666667,27.1
