TIME,LABEL
0.262857143,1.1
0.888888889,1.2
1.486077098,1.3
2.062176871,1.4
2.666666667,2.1
3.257165533,2.2
3.880317460,2.3
4.470725624,2.4
5.067346939,3.1
5.680385488,3.2
6.298412698,3.3
6.868911565,3.4
7.471496599,4.1
8.060521542,4.2
8.659637188,4.3
9.273106576,4.4
9.863560091,5.1
10.456371882,5.2
11.037074830,5.3
11.657142857,5.4
12.264489796,6.1
12.867687075,6.2
13.461043084,6.3
14.046235828,6.4
14.690022676,7.1
15.272108844,7.2
15.888253968,7.3
16.464965986,7.4
17.066734694,8.1
17.672698413,8.2
18.279024943,8.3
18.894308390,8.4
19.454693878,9.1
20.096145125,9.2
20.892154195,9.3
21.582947846,9.4
22.396916100,10.1
23.120113379,10.2
23.821972789,10.3
24.580340136,10.4
25.315351474,11.1
26.089478458,11.2
26.834489796,11.3
27.591360544,11.4
28.323650794,12.1
29.056326531,12.2
29.816077098,12.3
30.580657596,12.4
31.322811791,13.1
32.056190476,13.2
32.792131519,13.3
33.554988662,13.4
34.310204082,14.1
35.064399093,14.2
35.876009070,14.3
36.589092971,14.4
37.342403628,15.1
38.102380952,15.2
38.859342404,15.3
39.572335601,15.4
40.315328798,16.1
41.098231293,16.2
41.800453515,16.3
42.581065760,16.4
43.343673469,17.1
44.076870748,17.2
44.816122449,17.3
45.328253968,17.4
45.765079365,27.3
46.220136054,27.4
46.699682540,18.1
47.159160998,18.2
47.598730159,18.3
48.071111111,18.4
48.548571429,19.1
48.949841270,19.2
49.423242630,19.3
49.838752834,19.4
50.291541950,20.1
50.757505669,20.2
51.202040816,20.3
51.663650794,20.4
52.125668934,21.1
52.556190476,21.2
53.018412698,21.3
53.475555556,21.4
53.923424036,22.1
54.376122449,22.2
54.863401361,22.3
55.309070295,22.4
55.723492063,23.1
56.150884354,23.2
56.606780045,23.3
57.080725624,23.4
57.527188209,24.1
57.969092971,24.2
58.417777778,24.3
58.885079365,24.4
59.362539683,25.1
59.804625850,25.2
60.209342404,25.3
60.684943311,25.4
61.143605442,26.1
61.584920635,26.2
62.053809524,26.3
62.483333333,26.4
62.942108844,27.1
