TIME,LABEL
0.093750000,10.1
0.567750000,10.2
1.008000000,10.3
1.463708333,10.4
1.910729167,11.1
2.377500000,11.2
2.812000000,11.3
3.297937500,11.4
3.732000000,12.1
4.220000000,12.2
4.664000000,12.3
5.112000000,12.4
5.567333333,13.1
6.061500000,13.2
6.486666667,13.3
6.951000000,13.4
7.420000000,14.1
7.890000000,14.2
8.348666667,14.3
8.801333333,14.4
9.254000000,15.1
9.713333333,15.2
10.166666667,15.3
10.629333333,15.4
11.078666667,16.1
11.540000000,16.2
11.970000000,16.3
12.450666667,16.4
12.880000000,17.1
13.337333333,17.2
13.796000000,17.3
14.269333333,18.1
14.704000000,1.1
15.209479167,1.4
15.880750000,2.1
16.495812500,2.2
17.105312500,2.3
17.716979167,2.4
18.318645833,3.1
18.910812500,3.2
19.486458333,3.3
20.096166667,3.4
20.697812500,4.1
21.310125000,4.2
21.889333333,4.3
22.535187500,4.4
23.095958333,5.1
23.713687500,5.2
24.298729167,5.3
24.902520833,5.4
25.535395833,6.1
26.131229167,6.2
26.710500000,6.3
27.320291667,6.4
27.908000000,7.1
28.508958333,7.2
29.111854167,7.3
29.732020833,7.4
30.355416667,8.1
30.943750000,8.2
31.541520833,8.3
32.138312500,8.4
32.736187500,9.1
33.353500000,9.2
33.971645833,9.3
34.560000000,9.4
35.181979167,10.1
35.979791667,10.2
36.726000000,10.3
37.484270833,10.4
38.218562500,11.1
38.970104167,11.2
39.698416667,11.3
40.463895833,11.4
41.219041667,12.1
42.000750000,12.2
42.696354167,12.3
43.518000000,12.4
44.223000000,13.1
44.993208333,13.2
45.766666667,13.3
46.487666667,13.4
47.237645833,14.1
48.009375000,14.2
48.783770833,14.3
49.523604167,14.4
50.257375000,15.1
51.011187500,15.2
51.781500000,15.3
52.563125000,15.4
53.288291667,16.1
54.015145833,16.2
54.793333333,16.3
55.559979167,16.4
56.303958333,17.1
57.048000000,17.2
57.799208333,17.3
58.547354167,17.4
59.281562500,18.1
60.086666667,18.2
60.804916667,18.3
61.567229167,18.4
62.339125000,19.1
